"Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","SlowK","SlowD","OverBot","OverSld"
04/04/2018,22:00,164.88,172.01,164.77,171.61,34605489,0,168.19,173.32,26.10,18.19,80.00,20.00
04/05/2018,22:00,172.58,174.23,172.08,172.80,26933197,0,169.45,173.21,41.73,28.18,80.00,20.00
04/06/2018,22:00,170.97,172.48,168.20,168.38,35005290,0,169.57,172.78,44.63,37.49,80.00,20.00
04/09/2018,22:00,169.88,173.09,169.85,170.05,29017718,0,170.25,172.28,44.57,43.64,80.00,20.00
04/10/2018,22:00,173.00,174.00,171.53,173.25,28614241,0,171.22,171.86,50.74,46.65,80.00,20.00
04/11/2018,22:00,172.23,173.92,171.70,172.44,22431640,0,171.38,171.48,66.28,53.86,80.00,20.00
04/12/2018,22:00,173.41,175.00,173.04,174.14,22889285,0,171.65,171.27,82.46,66.49,80.00,20.00
04/13/2018,22:00,174.78,175.84,173.85,174.73,25124255,0,172.92,171.07,85.24,77.99,80.00,20.00
04/16/2018,22:00,175.03,176.19,174.83,175.82,21578420,0,174.08,170.96,92.63,86.78,80.00,20.00
04/17/2018,22:00,176.49,178.94,176.41,178.24,26605442,0,175.07,171.11,94.20,90.69,80.00,20.00
04/18/2018,22:00,177.81,178.82,176.88,177.84,20754538,0,176.15,171.24,94.66,93.83,80.00,20.00
04/19/2018,22:00,174.95,175.39,172.66,172.80,34808800,0,175.89,171.32,81.71,90.19,80.00,20.00
04/20/2018,22:00,170.60,171.22,165.43,165.72,65491140,0,174.08,171.16,52.54,76.30,80.00,20.00
04/23/2018,22:00,166.83,166.92,164.09,165.24,36515477,0,171.97,171.18,23.98,52.74,80.00,20.00
04/24/2018,22:00,165.67,166.33,161.22,162.94,33692017,0,168.91,170.68,8.17,28.23,80.00,20.00
04/25/2018,22:00,162.62,165.42,162.41,163.65,28382084,0,166.07,170.45,10.54,14.23,80.00,20.00
04/26/2018,22:00,164.12,165.73,163.37,164.22,27963014,0,164.35,170.34,13.45,10.72,80.00,20.00
04/27/2018,22:00,164.00,164.33,160.63,162.32,35655839,0,163.67,170.06,13.25,12.41,80.00,20.00
04/30/2018,22:00,162.13,167.26,161.84,165.26,42427424,0,163.68,169.99,17.15,14.62,80.00,20.00
05/01/2018,22:00,166.41,169.20,165.27,169.10,53569376,0,164.91,170.03,26.93,19.11,80.00,20.00
05/02/2018,22:00,175.23,177.75,173.80,176.57,66539371,0,167.49,170.28,52.87,32.31,80.00,20.00
05/03/2018,22:00,175.88,177.50,174.44,176.89,34068180,0,170.03,170.48,74.04,51.28,80.00,20.00
05/04/2018,22:00,178.43,184.25,178.17,183.83,56201317,0,174.33,171.25,91.97,72.96,80.00,20.00
05/07/2018,22:00,185.18,187.67,184.75,185.16,42451423,0,178.31,172.01,92.78,86.26,80.00,20.00
05/08/2018,22:00,184.99,186.22,183.67,186.05,28402777,0,181.70,172.65,94.14,92.96,80.00,20.00
05/09/2018,22:00,186.55,187.40,185.22,187.36,23211241,0,183.86,173.39,94.53,93.82,80.00,20.00
05/10/2018,22:00,187.74,190.37,187.65,190.04,27989289,0,186.49,174.19,97.30,95.32,80.00,20.00
05/11/2018,22:00,189.49,190.06,187.45,188.59,26212221,0,187.44,174.88,97.20,96.34,80.00,20.00
05/14/2018,22:00,189.01,189.53,187.86,188.15,20778772,0,188.04,175.50,95.15,96.55,80.00,20.00
05/15/2018,22:00,186.78,187.07,185.10,186.44,23695159,0,188.12,175.91,91.11,94.49,80.00,20.00
05/16/2018,22:00,186.07,188.46,186.00,188.18,19183064,0,188.28,176.43,90.65,92.30,80.00,20.00
05/17/2018,22:00,188.00,188.91,186.36,186.99,17294029,0,187.67,177.13,89.21,90.32,80.00,20.00
05/18/2018,22:00,187.19,187.81,186.13,186.31,18297728,0,187.21,178.16,88.45,89.44,80.00,20.00
05/21/2018,22:00,188.00,189.27,186.91,187.63,18400787,0,187.11,179.28,85.50,87.72,80.00,20.00
05/22/2018,22:00,188.38,188.88,186.78,187.16,15240704,0,187.25,180.49,82.62,85.52,80.00,20.00
05/23/2018,22:00,186.35,188.50,185.76,188.36,20058415,0,187.29,181.73,82.19,83.44,80.00,20.00
05/24/2018,22:00,188.77,188.84,186.21,188.15,23233975,0,187.52,182.93,78.64,81.15,80.00,20.00
05/25/2018,22:00,188.23,189.65,187.65,188.58,17460963,0,187.98,184.24,76.48,79.11,80.00,20.00
05/29/2018,22:00,187.60,188.75,186.87,187.90,22514075,0,188.03,185.37,65.29,73.47,80.00,20.00
05/30/2018,22:00,187.72,188.00,186.78,187.50,18690547,0,188.10,186.29,58.64,66.81,80.00,20.00
05/31/2018,22:00,187.22,188.23,186.14,186.87,27482793,0,187.80,186.81,44.97,56.30,80.00,20.00
06/01/2018,22:00,187.99,190.26,187.75,190.24,23442510,0,188.22,187.47,60.49,54.70,80.00,20.00
06/04/2018,22:00,191.64,193.42,191.35,191.83,26266174,0,188.87,187.87,73.97,59.81,80.00,20.00
06/05/2018,22:00,193.07,193.94,192.36,193.31,21565963,0,189.95,188.28,89.66,74.71,80.00,20.00
06/06/2018,22:00,193.63,194.08,191.92,193.98,20931059,0,191.25,188.68,90.65,84.76,80.00,20.00
06/07/2018,22:00,194.14,194.20,192.34,193.46,21347180,0,192.56,188.98,94.11,91.47,80.00,20.00
06/08/2018,22:00,191.17,192.00,189.77,191.70,26656799,0,192.86,189.07,86.75,90.50,80.00,20.00
06/11/2018,22:00,191.35,191.97,190.21,191.23,18308460,0,192.74,189.20,75.47,85.44,80.00,20.00
06/12/2018,22:00,191.39,192.61,191.15,192.28,16911141,0,192.53,189.40,70.81,77.68,80.00,20.00
06/13/2018,22:00,192.42,192.88,190.44,190.70,21638393,0,191.87,189.62,66.36,70.88,80.00,20.00
06/14/2018,22:00,191.55,191.57,190.22,190.80,21610074,0,191.34,189.75,64.09,67.09,80.00,20.00
06/15/2018,22:00,190.03,190.16,188.26,188.84,61719160,0,190.77,189.84,49.30,59.91,80.00,20.00
06/18/2018,22:00,187.88,189.22,187.20,188.74,18484865,0,190.27,189.96,41.19,51.53,80.00,20.00
06/19/2018,22:00,185.14,186.33,183.45,185.69,33578455,0,188.95,189.87,28.06,39.52,80.00,20.00
06/20/2018,22:00,186.35,187.20,185.73,186.50,20628701,0,188.11,189.83,26.69,31.98,80.00,20.00
06/21/2018,22:00,187.25,188.35,184.94,185.46,25711898,0,187.05,189.69,22.64,25.80,80.00,20.00
06/22/2018,22:00,186.12,186.15,184.70,184.92,27200447,0,186.26,189.53,20.25,23.19,80.00,20.00
06/25/2018,22:00,183.40,184.92,180.73,182.17,31663096,0,184.95,189.21,14.07,18.98,80.00,20.00
06/26/2018,22:00,182.99,186.53,182.54,184.43,24569201,0,184.70,189.03,17.54,17.29,80.00,20.00
06/27/2018,22:00,185.23,187.28,184.03,184.16,25285328,0,184.23,188.87,21.92,17.84,80.00,20.00
06/28/2018,22:00,184.10,186.21,183.80,185.50,17365235,0,184.24,188.80,31.51,23.66,80.00,20.00
06/29/2018,22:00,186.29,187.19,182.91,185.11,22737666,0,184.27,188.54,34.51,29.31,80.00,20.00
07/02/2018,22:00,183.82,187.30,183.42,187.18,17731343,0,185.28,188.31,42.80,36.27,80.00,20.00
07/03/2018,22:00,187.79,187.95,183.54,183.92,13954806,0,185.17,187.84,39.90,39.07,80.00,20.00
07/05/2018,22:00,185.26,186.41,184.28,185.40,16604248,0,185.42,187.41,44.14,42.28,80.00,20.00
07/06/2018,22:00,185.42,188.43,185.20,187.97,17485245,0,185.92,187.13,52.50,45.51,80.00,20.00
07/09/2018,22:00,189.50,190.68,189.30,190.58,19756634,0,187.01,187.08,78.08,58.24,80.00,20.00
07/10/2018,22:00,190.71,191.28,190.18,190.35,15939149,0,187.64,187.04,92.14,74.24,80.00,20.00
07/11/2018,22:00,188.50,189.78,187.61,187.88,18831470,0,188.44,186.82,85.73,85.31,80.00,20.00
07/12/2018,22:00,189.53,191.41,189.31,191.03,18041131,0,189.56,186.83,85.18,87.68,80.00,20.00
07/13/2018,22:00,191.08,191.84,190.90,191.33,12519792,0,190.23,186.86,86.73,85.88,80.00,20.00
07/16/2018,22:00,191.52,192.65,190.42,190.91,15043110,0,190.30,186.96,91.76,87.89,80.00,20.00
07/17/2018,22:00,189.75,191.87,189.20,191.45,15534523,0,190.52,187.10,88.86,89.12,80.00,20.00
